INENVIO 08L0002956L1234567                                                 FANDE
Isinli.virus@zonalibros.com                        libreria@example.org                              ENVIO 08        
CVIRUS EDITORIAL I DISTRIBUIDORA SCCL    LIBRERIA DE EJEMPLO                     002001303 20240405ADN0000000000E                       
D978-84-15260-87-59788415260875     053000054      MEMORIA DE LOS MAQUIS, LA                          000010000002115000000220000300000400NF        515                                                                                                                                                              
D978-84-15373-81-09788415373810     033000157      TANTRA URBANO                                      000010000001913000000199000300000400NF        515       BARBARA CARRELLAS                                                                                                                                      
D978-84-948749-5-69788494874956     046000063      VIDA EN EL CENTRO, LA (2ªed)                       000010000001442000000150000300000400NF        515       MARÍA/ PEDRERO GONZÁLEZ REYES/YAYO HERRERO/Pascual, Marta                                                                                              
D978-84-16855-65-09788416855650     074000110      PODEM ABOLIR LES PRESONS?                          000020000001346000000140000300000400NF        515       ANGELA DAVIS                                                                                                                                           
D978-607-8683-18-59786078683185     037003451      PUEBLO GITANO CONTRA EL SISTEMA-MUNDO              000030000001442000000150000300000400NF        515       Filigrana, Pastora                                                                                                                                     
D978-987-836-701-99789878367019     037003455      AL FARO (29)                                       000010000001538000000160000300000400NF        515       VIRGINIA WOOLF                                                                                                                                         
D978-84-15180-71-59788415180715     035000096      CNT Y LA FAI, LA (cas)                             000020000001154000000120000300000400NF        515       RAFAEL ARNAL                                                                                                                                           
D978-84-17925-20-89788417925208     465000150      UN MAG DE TERRAMAR                                 000020000001822000000189500300000400NF        515       K. Le Guin, Ursula                                                                                                                                     
D978-84-18083-43-39788418083433     062000091      VIDA MANTERA (cas)                                 000010000001442000000150000300000400NF        515       YERAY SÁNCHEZ IBORRA                                                                                                                                   
D978-84-120644-6-99788412064469     094000288      MUJERES INVISIBLES PARA LA MEDICINA                000010000002115000000220000300000400NF        515       CARME VALLS LLOBET                                                                                                                                     
D978-84-16698-52-39788416698523     415000070      ALTRA BANDA DE LA MUNTANYA, L'                     000020000001721000000179000300000400NF        515       Minna Salami                                                                                                                                           
D978-84-949223-6-79788494922367     442000009      UTOPIA NO ES UNA ISLA                              000050000000769000000080000300000400NF        515       LAYLA MARTÍNEZ                                                                                                                                         
D978-84-122129-0-79788412212907     451000001      MANIFIESTO CÍBORG                                  000010000001154000000120000300000400NF        515       DONNA HARAWAY                                                                                                                                          
D978-84-460-3535-09788446035350     037002679      ROMANCERO GITANO                                   000010000000962000000100000300000400NF        515       GARCIA LORCA, FEDERICO                                                                                                                                 
D978-84-120257-2-99788412025729     103000032      ESCENARIOS DE LA MEMORIA - 10                      000010000000385000000040000300000400NF        515       Marín Silvestre, Dolors                                                                                                                                
D978-84-16227-39-69788416227396     034000061      CONJUGAR EL AMOR                                   000020000001500000000156000300000400NF        515       LATORRE LAURA                                                                                                                                          
D978-84-17870-06-59788417870065     001000391      PAJAROS EN LA CABEZA                               000020000001635000000170000400000400NF        515       JAVIER ERRO                                                                                                                                            
D978-84-17870-08-99788417870089     001000392      YO SOY FRONTERA                                    000010000001731000000180000400000400NF        515       SHAHRAM KHOSRAVI                                                                                                                                       
D978-84-122818-4-29788412281842     094000311      ENSEÑAR A TRANSGREDIR                              000020000001779000000185000300000400NF        515       BELL HOOKS                                                                                                                                             
D978-84-948484-6-99788494848469     459000001      PEPE BUENAVENTURA DURRUTI                          000010000001635000000170000300000400NF        515       CARLOS AZAGRA GARCIA                                                                                                                                   
D978-84-948484-8-39788494848483     459000002      ESCLAVOS DE FRANCO                                 000010000001635000000170000300000400NF        515       CHESUS CALVO                                                                                                                                           
D978-84-123902-1-69788412390216     094000323      CUANDO TE LLAMAN TERRORISTA                        000010000001779000000185000300000400NF        515       Khan-Cullors, Patrisse/Bandele, Asha                                                                                                                   
D978-84-122386-8-69788412238686     372000027      NO TODAS LAS FEMINISTAS SON BLANCAS                000020000001154000000120000300000400NF        515       VERGÈS, FRANÇOISE                                                                                                                                      
D978-84-18684-28-99788418684289     036000965      INTEGRATE TU!                                      000030000001538000000160000300000400NF        515       BOUTELDJA, HOURIA/KHIARI, SADRI                                                                                                                        
D978-84-18684-21-09788418684210     036000929      EN DEFENSA DE AFRODITA (Bellaterra)                000020000001346000000140000300000400NF        515       VVAA                                                                                                                                                   
D978-84-09-33627-29788409336272     469000001      COLAPSO                                            000010000001625000000169000300000400NF        515       GARTZIA, NAGORE                                                                                                                                        
D978-84-18684-40-19788418684401     036000962      DESEO DE CAMBIAR, EL                               000030000001827000000190000300000400NF        515       BELL HOOKS                                                                                                                                             
D978-84-18684-34-09788418684340     036000974      BATALLA TRANS, LA                                  000010000001346000000140000300000400NF        515       RAÚL SOLÍS                                                                                                                                             
D978-84-122618-8-29788412261882     103000042      CAMINANDO POR EL RAVAL - 13                        000010000000481000000050000300000400NF        515       GRUP D'ESTUDIS H DEL RAVAL                                                                                                                             
D978-84-18705-21-29788418705212     074000114      FIGURES DE LA REVOLUCIÓ AFRICANA                   000020000001827000000190000300000400NF        515       SAÏD BOUAMAMA                                                                                                                                          
D978-84-124578-0-39788412457803     094000346      ANTIFASCISTAS                                      000020000002404000000250000300000400NF        515       Miquel Ramos                                                                                                                                           
D978-84-18705-19-99788418705199     074000131      UNA TEORIA FEMINISTA DE LA VIOLENCIA (CAT.)        000010000001538000000160000300000400NF        515       VERGÈS, FRANÇOISE                                                                                                                                      
D978-84-16855-85-89788416855858     074000069      QUI APAGARA AQUEST INCENDI                         000010000001635000000170000300000400NF        515       MALM ANDREAS                                                                                                                                           
D978-84-125320-0-59788412532005     103000044      BOQUERIA, LA - 14 (cat)                            000010000000481000000050000300000400NF        515       MIQUEL VALLÈS                                                                                                                                          
D978-84-124055-7-69788412405576     451000009      MOVIMIENTO DE MUJERES ROMANIES, EL                 000010000002596000000270000300000400NF        515       VVAA                                                                                                                                                   
D978-84-18403-53-89788418403538     033000174      SUBVERSIVA SIMONE WEIL, LA                         000010000001433000000149000300000400NF        515       Zaretsky, Robert                                                                                                                                       
D978-84-17925-76-59788417925765     465000264      ENSENYAR PENSAMENT CRÍTIC                          000020000001913000000199000300000400NF        515       BELL HOOKS                                                                                                                                             
D978-84-09-38126-59788409381265     495000002      OTOÑO DE LA CIVILIZACIÓN, EL                       000010000001538000000160000300000400NF        515       Turiel, Antonio/BORDERA, JUAN                                                                                                                          
D978-84-18998-06-59788418998065     032000325      REFUGIADO                                          000010000001923000000200000300000400NF        515       EMMANUEL MBOLELA Emmanuel Mbolela                                                                                                                      
D978-84-945635-7-79788494563577     124000012      CESARÁ LA HORRIBLE NOCHE?                          000020000001442000000150000300000400NF        515       Monica Bohorquez Torres                                                                                                                                
D978-84-124055-8-39788412405583     451000010      DEGENERADAS TRANS ACABAN CON LA FAMILIA, LAS       000020000002115000000220000300000400NF        515       HYBRIS, IRA                                                                                                                                            
D978-84-18998-04-19788418998041     079000116      CAMINOS DEL COMUNISMO LIBERTARIO EN ESPAÑA (1868-1 000010000001683000000175000300000400NF        515       MYRTILLE GONZALBO                                                                                                                                      
D9789200705045    9789200705045     478000020      CARTAS A MIS HERMANAS MÁS JOVENES (I)              000010000000865000000090000300000400NF        515       GUTIERREZ, RAQUEL                                                                                                                                      
D978-607-99301-7-29786079930172     478000016      CARTAS A MIS HERMANAS MÁS JÒVENES (II)             000010000000913000000095000300000400NF        515       GUTIERREZ AGUILAR, RAQUEL                                                                                                                              
D978-84-18580-53-69788418580536     063000198      PARTOS FELICES                                     000010000002404000000250000300000400NF        515       COL·LECTIVA                                                                                                                                            
D978-84-124055-6-99788412405569     451000011      BICIOSAS                                           000010000001731000000180000300000400NF        515       ANA AMIGO VENTUREIRA                                                                                                                                   
D978-84-122637-7-09788412263770     368000031      ESCALANTES                                         000030000001250000000130000300000400NF        515       María Francisca                                                                                                                                        
D978-84-19160-10-29788419160102     036001062      DERECHO A MUTILAR, EL                              000010000002115000000220000300000400NF        515       JASBIR K. PUAR                                                                                                                                         
D978-987-38-6156-79789873861567     467000008      ENCARCELACIONES MASIVAS                            000020000001538000000160000300000400NF        515       JULIANA BORGES                                                                                                                                         
D978-84-16946-78-59788416946785     393000075      ESTA GUERRA NO TERMINA EN UCRANIA                  000010000001923000000200000300000400NF        515       Raúl Sánchez Cedillo                                                                                                                                   
D978-84-19160-22-59788419160225     036001066      REBELIÓN DE LAS HIENAS, LA                         000030000001538000000160000300000400NF        515       GÓMEZ, MER                                                                                                                                             
D978-84-96044-69-29788496044692     001000293      LOLA ITURBE.Vida e ideal...                        000010000001538000000160000400000400NF        515       ANTONIA/TORRES FONTANILLAS                                                                                                                             
D978-84-18580-62-89788418580628     063000207      TOT ERA MASSA FRAGIL                               000010000002115000000220000300000400NF        515       SURIÑACH, RUBEN                                                                                                                                        
D978-956-605-203-69789566052036     455000008      COMO MEJORAR TU SALUD HORMONAL                     000010000002115000000220000300000400NF        515       BRIDEN, LARA                                                                                                                                           
D978-84-123902-3-09788412390230     094000325      SETA DEL FIN DEL MUNDO, LA                         000020000002115000000220000300000400NF        515       Tsing, Anna Lowenhaupt                                                                                                                                 
D978-84-125204-6-09788412520460     454000038      DRAG KING DREAMS                                   000030000001250000000130000300000400NF        515       Feinberg, Leslie                                                                                                                                       
D978-84-19515-02-59788419515025     508000005      NEVADA                                             000010000001923000000200000300000400NF        515       Imogen Binnie                                                                                                                                          
D978-84-17870-22-59788417870225     001000406      INVENCION DE LAS MUJERES, LA                       000020000002308000000240000400000400NF        515       Oyèrónke Oyewùmí                                                                                                                                       
D978-84-18705-52-69788418705526     074000153      MOVIMENT DE DONES DEL KURDISTAN, EL                000010000002212000000230000300000400NF        515       DILAR DIRIK                                                                                                                                            
D978-84-19206-85-59788419206855     465000284      GUIA MAGICA D'AUTODEFENSA AMB GALETES              000020000001913000000199000300000400NF        515       T. KINGFISHER                                                                                                                                          
D9789200710988    9789200710988     500000005      CRUZANDO FRONTERAS (IBD)                           000010000001683000000175000300000400NF        515       MARCOS, SYLVIA                                                                                                                                         
D978-84-123272-2-99788412327229     457000003      TERROR FEMINISTA, EL                               000020000001346000000140000300000400NF        515       Irene                                                                                                                                                  
D978-84-126199-7-39788412619973     094000375      NO ME TOQUES EL PELO                               000010000002019000000210000300000400NF        515       Emma Dabiri                                                                                                                                            
D978-84-126037-3-69788412603736     451000015      CUERPO DESEADO, EL                                 000010000001731000000180000300000400NF        515       ANDREA GARCÍA-SANTESMASES FERNÁNDEZ                                                                                                                    
D978-84-127114-1-79788412711417     513000002      GORDA, LA                                          000020000001635000000170000300000400NF        515       LUCÍA LAMAS                                                                                                                                            
D978-84-127114-0-09788412711400     513000001      ACEITE Y SAL                                       000010000001635000000170000300000400NF        515       HAFSA ARRABAL                                                                                                                                          
D978-84-125204-9-19788412520491     454000041      TRINCHERA DOMÉSTICA, LA                            000010000001154000000120000300000400NF        515       CRISTINA BARRIAL BERBÉN                                                                                                                                
D978-84-85209-52-19788485209521     436000440      ABC DEL COMUNISMO LIBERTARIO, EL                   000020000001154000000120000300000400NF        515       Alexander Berkman                                                                                                                                      
D978-84-9888-584-29788498885842     020000379      DEL PUEBLO, PARA EL PUEBLO (411)                   000010000001923000000200000300000400NF        515                                                                                                                                                              
D978-84-19023-77-39788419023773     062000098      PEDAGOGIA ANTIFASCISTA                             000020000001442000000150000300000400NF        515       ENRIQUE JAVIER DÍEZ GUTIÉRREZ                                                                                                                          
D978-84-19206-52-79788419206527     465000297      GUIA GRAMATICAL DE LLENGUATGE NO-BINARI            000030000001731000000180000300000400NF        515       VVAA                                                                                                                                                   
D978-84-17870-27-09788417870270     001000410      PUTA FEMINISTA                                     000030000001635000000170000400000400NF        515       Georgina Orellano                                                                                                                                      
D978-84-460-5403-09788446054030     037004161      ESCUELA O BARBARIE (2ª ed.)                        000010000002115000000220000300000400NF        515       Galindo Ferrández, Enrique García Fernández,                                                                                                           
D978-84-323-2064-49788432320644     285000042      INVENCIÓN DE LOS SEXOS, LA                         000010000002163000000225000300000400NF        515       Ciccia, Lu                                                                                                                                             
D978-84-127085-8-59788412708585     094000399      SUPERVIVENCIA DE LOS MÁS RICOS, LA                 000020000001923000000200000300000400NF        515       DOUGLAS RUSHKOFF                                                                                                                                       
D978-84-16698-92-99788416698929     415000109      BENVOLGUT IMBÈCIL                                  000030000002115000000220000300000400NF        515       Virginie Despentes                                                                                                                                     
D978-84-17870-29-49788417870294     001000412      FALSAS ALTERNATIVAS, LAS (2ed)                     000030000001731000000180000400000400NF        515       PÉREZ RUEDA, ANI                                                                                                                                       
D978-84-323-2071-29788432320712     285000328      CAPITALISMO CANIBAL                                000010000002106000000219000300000400NF        515       Fraser, Nancy                                                                                                                                          
D978-84-18705-63-29788418705632     074000161      ABOLICIÓ DE LA FAMÍLIA, L'                         000010000002019000000210000300000400NF        515       M. E. O'BRIEN                                                                                                                                          
D978-84-125386-9-49788412538694     407000063      GUERRA ES LA SALUD DEL ESTADO, LA                  000010000001154000000120000300000400NF        515       Randolph Bourne                                                                                                                                        
D9786316507051    9786316507051     398000069      CONTRA EL MITO DE LA FUERZA VIRIL                  000040000000577000000060000300000400NF        515                                                                                                                                                              
D978-84-19728-09-89788419728098     421000135      TU BOCA EN MI PIEL                                 000010000001923000000200000300000400NF        515       LUCA ANDREA                                                                                                                                            
D978-84-17870-30-09788417870300     001000414      BARCELONA METRÒPOLI-EMPRESA                        000010000001827000000190000400000400NF        515       Tinc Tant                                                                                                                                              
D978-84-323-2076-79788432320767     285000331      LIBRO DE LOS ABRAZOS, EL                           000020000002298000000239000300000400NF        515       EDUARDO GALEANO                                                                                                                                        
D978-84-127509-0-49788412750904     079000122      PIERRE-JOSEPH PROUDHON                             000010000001731000000180000300000400NF        515       FLORENTINO IGLESISAS                                                                                                                                   
D978-84-19160-60-79788419160607     036001123      ADOLESCENTES EN TRANSICIÓN                         000010000001827000000190000300000400NF        515       Miquel Missé/MIQUEL MISSE/PARRA, NOEMI                                                                                                                 
D978-84-19728-07-49788419728074     421000137      AFROQUEERIDADES                                    000010000001630000000169500300000400NF        515       ARROYO PIZARRO, YOLANDA                                                                                                                                
D978-84-127365-4-09789788412731     466000577      Y SI NOS REPLANTEAMOS EL CANIBALISMO?              000020000001721000000179000300000400NF        515       ALBERT PIJUAN                                                                                                                                          
D978-84-126502-5-99788412650259     518000001      I MALGRAT TOT PALESTINA                            000020000001538000000160000300000400NF        515       TÀPERA, RICARD                                                                                                                                         
D978-84-125320-7-49788412532074     103000109      FELIP CORTIELLA (16)                               000010000000481000000050000300000400NF        515       Aisa Pàmpols, Ferran                                                                                                                                   
D978-84-126936-5-29788412693652     087000099      WITCH (Edición de lujo ampliada y revisada)        000020000001875000000195000300000400NF        515       VVAA                                                                                                                                                   
D9789200087950    9789200087950     486000014      MAGIA HETEROCAPITALÍSTICA Y BRUJERIA ANTI(PSI)STEM 000010000001490000000155000300000400NF        515       SILVESTRI, LEONOR/Leonor Silvestri                                                                                                                     
D978-84-19719-44-79788419719447     514000007      EMMA GOLDMAN                                       000030000001635000000170000300000400NF        515       GORNICK, VIVIAN                                                                                                                                        
D978-84-19719-68-39788419719683     514000001      ABOLIR LA FAMÍLIA (cat)                            000020000001538000000160000300000400NF        515       SOPHIE LEWIS                                                                                                                                           
D978-84-19719-05-89788419719058     514000013      ALTERNATIVES A LA PRESÓ?                           000020000001346000000140000300000400NF        515       MICHEL FOUCAULT                                                                                                                                        
D978-84-19719-08-99788419719089     514000015      NI A DALT NI A BAIX                                000010000001346000000140000300000400NF        515       Barbara Ehrenreich/John Ehreinreich                                                                                                                    
D978-84-19778-57-49788419778574     020001425      MALESTAR EN LA TURISTIFICACIÓN, EL (541)           000020000002308000000240000300000400SF        515       VVAA                                                                                                                                                   
D978-84-127996-3-79788412799637     495000022      AMAZON DESDE DENTRO                                000020000001346000000140000300000400SF        515       JOSEFINA L. MARTÍNEZ                                                                                                                                   
D978-84-19900-92-09788419900920     062000118      PEDAGOGÍA DEL DECRECIMIENTO                        000010000001712000000178000300000400SF        515       ENRIQUE JAVIER DÍEZ GUTIÉRREZ                                                                                                                          
D978-84-122594-9-09788412259490     094000294      CAPITAL FÓSIL                                      000010000002500000000260000300000400NF        515       ANDREAS MALM                                                                                                                                           
D978-84-121232-8-99788412123289     386000037      MARX & FOUCAULT                                    000010000002308000000240000300000400NF        515       VVAA/Christian Laval/Ferhat Taylan                                                                                                                     
D978-84-120453-2-19788412045321     368000018      VIENTOS DE DESOBEDIENCIA                           000010000001538000000160000300000400NF        515       Joseba G. Martín                                                                                                                                       
D978-84-617-9595-69788461795956     374000008      HAMBURGO EN LAS BARRICADAS                         000010000000962000000100000300000400NF        515       REISNER, LARISA                                                                                                                                        
D978-84-09-28558-79788409285587     456000011      ENSAYOS ANARQUISTAS (Antorcha)                     000010000001154000000120000300000400NF        515       KROPOTKIN, PIOTR                                                                                                                                       
D978-84-09-26072-09788409260720     456000001      NACIONALISMO Y CULTURA Rudolf Rocker (Antorcha)    000010000001538000000160000300000400NF        515       RUDOLF ROCKER                                                                                                                                          
D978-84-122618-6-89788412261868     103000040      JOSEP BARCELÓ (cas) - 12                           000010000000385000000040000300000400NF        515       SIBINA ALSINA, JOSEP MARIA                                                                                                                             
D978-84-125320-3-69788412532036     103000105      LANCASTER 24 (15)                                  000010000000481000000050000300000400NF        515       VVAA                                                                                                                                                   
D978-84-125320-1-29788412532012     103000104      BOQUERIA, LA - 14 (cast)                           000010000000577000000060000300000400NF        515       Miquel Vallès Garreta                                                                                                                                  
D978-84-122618-4-49788412261844     103000039      JOSEP BARCELO I EL ROBATORI... - 12                000010000000385000000040000300000400NF        515       SIBINA ALSINA, JOSEP MARIA                                                                                                                             
D978-84-120257-8-19788412025781     103000034      VIEJA CÁRCEL DE LA CALLE AMALIA - 11               000010000001346000000140000300000400NF        515       ELSA PLAZA                                                                                                                                             
D978-84-125590-3-39788412559033     086000065      ESCRITOS POLÍTICOS LIBERTARIOS                     000010000001346000000140000300000400NF        515       SIMONE WEIL                                                                                                                                            
D978-84-125590-4-09788412559040     086000064      HACIA UNA PSIQUIATRÍA CRÍTICA                      000010000002115000000220000300000400NF        515       ALBERTO ORTIZ LOBO                                                                                                                                     
D978-84-949223-8-19788494922381     442000013      ARTE DE LA FUGA, EL (bilingüe castellano/portugés) 000030000000962000000100000300000400NF        515       André Tecedeiro                                                                                                                                        
D978-84-126586-4-49788412658644     495000012      CATORCE PALABRAS PARA DESPUÉS DEL CAPITALISMO      000010000001635000000170000300000400NF        515       SANTIAGO ALBA RICO                                                                                                                                     
D978-84-125241-4-79788412524147     495000007      SOIS HISTORIA SOIS LEYENDA                         000010000000962000000100000300000400NF        515       MIGUEL DE LUCAS                                                                                                                                        
D978-84-124055-3-89788412405538     451000007      FEMINISMOS FRONTERIZOS                             000010000001923000000200000300000400NF        515       CAROLINA MELONI                                                                                                                                        
D978-84-124055-5-29788412405552     451000008      ENCARNANDO EL TERRITORIO                           000010000001731000000180000300000400NF        515       BORREGO CASTELLANO, CARMELA                                                                                                                            
D978-84-122129-9-09788412212990     451000005      TEORIA CRIP                                        000010000002212000000230000300000400NF        515       MCRUER, ROBERT                                                                                                                                         
D978-84-19206-42-89788419206428     465000315      SEXE FORA DE NORMA (HUMOR)                         000020000002115000000220000300000400SF        515       DDAA                                                                                                                                                   
D978-84-120257-9-89788412025798     103000026      VIVERS DE REVOLUCIONARIS - 05                      000010000000385000000040000300000400NF        515       Emili Salut                                                                                                                                            
D978-84-120257-6-79788412025767     103000022      ESTIMAT CARRER AURORA (2ed) - 04                   000010000000385000000040000300000400NF        515       MANEL AISA PÀMPOLS                                                                                                                                     
D978-84-122618-5-19788412261851     103000030      CALLE OLVIDADA, LA - 03                            000010000000385000000040000300000400NF        515       ELSA PLAZA                                                                                                                                             
D978-84-120257-4-39788412025743     103000029      DIGUEU QUE PARLA EL NOI - 02                       000010000000385000000040000300000400NF        515       ESCRIBANO, ABEL                                                                                                                                        
D00010000000      00010000000       103000031      1968 CUANDO SE MARCHITÓ EL ROJO...                 000010000000673000000070000300000400NF        515       MIQUEL IZARD                                                                                                                                           
D000700000000     000700000000      103000025      RAVAL EL EPICENTRO... - 07                         000010000000385000000040000300000400NF        515       ASSEMBLEA DEL RAVAL                                                                                                                                    
D000060000000     000060000000      103000023      REVUELTA DE LAS MUJERES, LA - 06                   000010000000385000000040000300000400NF        515       TONI ÁLVARO                                                                                                                                            
D978-84-17870-10-29788417870102     001000394      ECO DE LOS PASOS, EL (Virus)                       000020000002885000000300000400000400NF        515       GARCIA OLIVER, JUAN                                                                                                                                    
D978-84-944208-4-99788494420849     087000100      MANUAL REVISADO DEL BOY SCOUT                      000010000001346000000140000300000400SF        515       WILLIAM S. BURROUGHS                                                                                                                                   
