INENVIO 06LIB00069L1234567000960000066                                     FANDE
ISINLI@RHM.ES                                      libreria@example.org                              ENVIO 0600000065
CPENGUIN RANDOM HOUSE GRUPO EDITORIAL    LIBRERIA DE EJEMPLO                     011613068220240408ADN0000000000E
D978-84-18196-79-99788418196799     DB96799        LIMITS (ED. LIMITADA)                             0000010000001053000000109500350000400NF00000000S.JORDI24 TIRADO, MIRIAM
D978-84-19437-77-89788419437778     RK37778        PERROS                                            0000020000002202000000229000350000400NF00000000S.JORDI24 GENDRY-KIM, KEUM SUK
D978-84-306-2656-49788430626564     TA26564        COMO HABLAR BALLENO                               0000020000002106000000219000350000400NF00000000S.JORDI24 MUSTILL, TOM
D978-84-264-2697-09788426426970     H426970        OJOS DE MONA, LOS                                 0000010000002298000000239000350000400NF00000000S.JORDI24 SCHLESSER, THOMAS
D978-84-19259-08-09788419259080     VT59080        VAGA DE LA CANADENCA, LA                          0000020000002106000000219000350000400NF00000000S.JORDI24 ABELLO, TERESA
D978-84-204-7678-09788420476780     AL76780        CATERINA                                          0000010000002298000000239000350000400NF00000000S.JORDI24 VECCE, CARLO
D978-84-264-3064-99788426430649     H430649        COMO DE AIRE                                      0000020000001721000000179000350000400NF00000000S.JORDI24 D'ADAMO, ADA
D978-84-204-7653-79788420476537     AL76537        VERDAD SOBRE LA LUZ, LA                           0000010000001817000000189000350000400NF00000000S.JORDI24 OLAFSDOTTIR, AUDUR AVA
D978-84-19409-28-79788419409287     SG09287        DIARIOS DE GUERRA                                 0000020000002399000000249500350000400NF00000000S.JORDI24 KRUG, NORA
D978-84-666-7738-79788466677387     BS77387        PEQUEÑO LIBRO DEL AMOR, EL                        0000020000001721000000179000350000400NF00000000S.JORDI24 72 KILOS
D978-84-19409-14-09788419409140     SG09140        PERPENDICULAR AL SOL                              0000020000003841000000399500350000400NF00000000S.JORDI24 CUNY-LE CALLET, VALENTINE
D978-84-19357-44-19788419357441     GT5744A        PORNO NO MOLA(I ARA ENTENDRAS PER QUE)            0000050000001534000000159500350000400NF00000000S.JORDI24 SALVIA, ANNA
D978-84-19746-85-69788419746856     GT46856        PORNO NO MOLA(Y AHORA ENTENDERAS POR QU           0000040000001534000000159500350000400NF00000000S.JORDI24 SALVIA, ANNA
D978-84-204-7680-39788420476803     AL76803        LO QUE SABE LA SEÑORITA KIM                       0000010000001913000000199000350000400NF00000000S.JORDI24 NAM-JOO, CHO
D978-84-17910-88-49788417910884     RK1088A        TRIBUTO A LA TIERRA, UN                           0000020000002202000000229000350000400NF00000000S.JORDI24 SACCO, JOE
D978-84-17910-79-29788417910792     RK1079B        NOTAS AL PIE DE GAZA (TB)                         0000020000002202000000229000350000400NF00000000S.JORDI24 SACCO, JOE
D978-84-18483-80-69788418483806     GT8380A        REGLA MOLA (SI SAPS COM FUNCIONA), LA             0000030000001534000000159500350000400NF00000000S.JORDI24 TORRON (MENSTRUITA), CRISTINA/SALVIA, AN
D978-84-17922-98-69788417922986     GT2298C        REGLA MOLA, LA (SI SABES COMO FUNCIONA)           0000030000001534000000159500350000400NF00000000S.JORDI24 TORRON (MENSTRUITA), CRISTINA/SALVIA, AN
D978-84-666-6558-29788466665582     BS6558C        BRUJAS                                            0000050000001817000000189000350000400NF00000000S.JORDI24 CHOLLET, MONA
D978-84-94785-27-69788494785276     RS8527A        LEÑADORAS 4. A VISTA DE PAJARO                    0000010000002014000000209500350000400NF00000000S.JORDI24 STEVENSON, ND/ELLIS, GRACE/WATTERS, SHAN
D978-84-397-3385-09788439733850     RH3385A        TEORIA KING KONG                                  0000060000001529000000159000350000400NF00000000S.JORDI24 DESPENTES, VIRGINIE
D978-84-306-2562-89788430625628     TA2562A        VIDA CONTEMPLATIVA                                0000010000001433000000149000350000400NF00000000S.JORDI24 HAN, BYUNG-CHUL
D978-84-17001-93-39788417001933     PB0193B        SEÑORAS QUE SE EMPOTRARON HACE MUCHO              0000040000001913000000199000350000400NF00000000S.JORDI24 DOMENECH, CRISTINA
D978-84-9105-353-89788491053538     PG5353B        CONQUISTA DEL PAN, LA                             0000040000001053000000109500350000400NF00000000S.JORDI24 KROPOTKIN, PIOTR
D978-84-18196-24-99788418196249     DB9624A        VIATGE AL PAIS DELS BLANCS                        0000010000001149000000119500350000400NF00000000S.JORDI24 UMAR, OUSMAN
D978-84-397-2071-39788439720713     GM2071C        MAUS                                              0000040000002298000000239000350000400NF00000000S.JORDI24 SPIEGELMAN, ART
D978-84-17910-15-09788417910150     RK1015C        PERSEPOLIS (CAT)                                  0000040000002298000000239000350000400NF00000000S.JORDI24 SATRAPI, MARJANE
D978-84-17910-14-39788417910143     RK1014B        PERSEPOLIS (ESP)                                  0000040000002298000000239000350000400NF00000000S.JORDI24 SATRAPI, MARJANE
D978-84-264-0327-89788426403278     H40327C        TAN POCA VIDA                                     0000010000002394000000249000350000400NF00000000S.JORDI24 YANAGIHARA, HANYA
D978-84-264-0969-09788426409690     H40969D        MALAS MUJERES                                     0000060000002106000000219000350000400NF00000000S.JORDI24 HESSE, MARIA
D978-84-17809-83-69788417809836     PB0983B        TODO ESO QUE NO SE COMO EXPLICARLE A MI           0000040000001625000000169000350000400NF00000000S.JORDI24 BRAVO, SANDRA
D978-84-01-02584-69788401025846     L02584A        TODO EL MUNDO PUEDE SER ANTIFA                    0000040000001913000000199000350000400NF00000000S.JORDI24 ANDIÑACH, POL
D978-84-18052-07-19788418052071     RK5207A        HIERBA                                            0000030000002298000000239000350000400NF00000000S.JORDI24 GENDRY-KIM, KEUM SUK
D978-84-18132-97-19788418132971     DB3297D        DIARI D'ANNE FRANK(NOVA EDICIO)                   0000010000001053000000109500350000400NF00000000S.JORDI24 FRANK, ANNE
D978-84-397-3761-29788439737612     RH37612        SEXOGRAFIAS                                       0000040000001721000000179000350000400NF00000000S.JORDI24 WIENER, GABRIELA
D978-84-397-4113-89788439741138     RH41138        APOCALIPSIS BEBE                                  0000040000002106000000219000350000400NF00000000S.JORDI24 DESPENTES, VIRGINIE
D978-84-19241-67-29788419241672     GT41672        TEU COS MOLA, EL                                  0000020000001534000000159500350000400NF00000000S.JORDI24 TORRON (MENSTRUITA), CRISTINA/TORRON, MA
D978-84-19357-72-49788419357724     GT57724        SEMEN MOLA(PERO NECESSITES SABER COM FUN          0000030000001534000000159500350000400NF00000000S.JORDI24 TORRON (MENSTRUITA), CRISTINA/SALVIA, AN
D978-84-18226-46-59788418226465     CA26465        NOSALTRES, ELS SENSE NOM                          0000020000001913000000199000350000400NF00000000S.JORDI24 GARCIA OLIVER, JOAN/DIEZ, XAVIER
D978-84-17909-48-29788417909482     VT0948A        LITI-O                                            0000060000001337000000139000350000400NF00000000S.JORDI24 PEYA, CLARA
D978-84-17125-63-99788417125639     RK2563E        LO QUE MAS ME GUSTA SON LOS MONSTRUOS             0000020000003837000000399000350000400NF00000000S.JORDI24 FERRIS, EMIL
D978-84-666-5973-49788466659734     BS5973C        PROBLEMA DE LOS TRES CUERPOS, EL                  0000030000002106000000219000350000400NF00000000S.JORDI24 LIU, CIXIN
D978-84-663-5844-69788466358446     P35844A        DIARIO DE ANNE FRANK                              0000010000001438000000149500350000400NF00000000S.JORDI24 FRANK, ANNE
D978-84-663-5756-29788466357562     P35756A        1984 (FG)                                         0000030000001438000000149600350000400NF00000000S.JORDI24 ORWELL, GEORGE
D978-84-16131-34-19788416131341     SG3134B        ESTAMOS TODAS BIEN                                0000020000002111000000219500350000400NF00000000S.JORDI24 PENYAS, ANA
D978-84-9759-425-79788497594257     P89425F        UN MUNDO FELIZ                                    0000020000001053000000109500350000400NF00000000S.JORDI24 HUXLEY, ALDOUS
D978-84-663-5816-39788466358163     P35816A        FAHRENHEIT 451(NUEVA TRADUCCION)                  0000020000001245000000129500350000400NF00000000S.JORDI24 BRADBURY, RAY
D978-84-17417-16-19788417417161     CT1716A        LITIO                                             0000030000001529000000159000350000400NF00000000S.JORDI24 DENIS, MALEN
D978-84-03-52214-59788403522145     AG2214A        NO VINE A SER CARNE                               0000080000001625000000169000350000400NF00000000S.JORDI24 CATTANA, GATA
D978-84-18318-93-19788418318931     GT1893B        TU CUERPO MOLA (APRENDE A DESCUBRIRLO)            0000020000001534000000159500350000400NF00000000S.JORDI24 TORRON (MENSTRUITA), CRISTINA/TORRON, MA
D978-84-9989-087-69788499890876     P99087C        HOMENAJE A CATALUÑA                               0000030000000861000000089500350000400NF00000000S.JORDI24 ORWELL, GEORGE
D978-84-18052-06-49788418052064     RK5206A        LABERINTOS                                        0000010000001913000000199000350000400NF00000000S.JORDI24 BURNS, CHARLES
D978-84-18052-02-69788418052026     RK5202A        NO SIENTO NADA                                    0000020000001913000000199000350000400NF00000000S.JORDI24 STROMQUIST, LIV
D978-84-18897-52-89788418897528     RK9752A        FRUTO PROHIBIDO, EL - TB                          0000030000001913000000199000350000400NF00000000S.JORDI24 STROMQUIST, LIV
D978-84-18798-41-29788418798412     GT9841A        SEMEN MOLA,EL.PERO TIENES QUE SABER...            0000030000001534000000159500350000400NF00000000S.JORDI24 TORRON (MENSTRUITA), CRISTINA/SALVIA, AN
T0000019400003548140000230626
V0040000002306260000009228000000000000000
E978-84-264-2683-39788426426833     H426833        POR QUE SER FELIZ CUANDO PUEDES SER(TB)           8S00000000
E                 9788466372022                    HIJOS DE DUNE (DELUXE ED. LIMITADA)               1S20991231
E                 9788466363402                    DUNE (FG)(DELUXE ED.LIMITADA)                     1S20991231
E                 9788466372015                    MESIAS DE DUNE, EL (DELUXE ED. LIMITADA)          1S20991231
E                 9788418897900                    LABERINTOS 2                                      1S20991231
E                 9788419013514                    HOMENATGE A CATALUNYA                             1S20991231
E                 9788419334343                    VITA CONTEMPLATIVA (LA MAGRANA)                   1S20991231
E                 9788413146928                    TRILOGIA DE LOS TRES CUERPOS (BOLSILLO)           1S20991231
E                 9788413146454                    BOSQUE OSCURO, EL                                 1S20991231
E                 9788413146461                    FIN DE LA MUERTE, EL                              1S20991231
E                 9788413143415                    PROBLEMA DE LOS TRES CUERPOS, EL (NETFL)          1S20991231
E                 9788426427007                    SILENCIO DEL AGUA, EL                             1S20991231
E                 9788466373852                    HABITACION PROPIA, UNA (NUEVA TRADUCCION          1S20991231
E                 9788419259479                    EXPEDICIO AL SOSTRE DE VIDRE                      1S20991231
E                 9788426428820                    TRILOGIA DE PARIS, LA                             1S20991231
E                 9788419245779                    MODISTA DE GRACIA, LA                             1S20991231
E                 9788416310050                    ARAB DEL FUTUR, L' 1 (CATALA)                     1S20991231
E                 9788494425776                    LEÑADORAS 1. CUIDADO CON EL GATETE SAGRA          1S20991231
