INENVIO 08LIB00002L1234567                                                 FANDE
Isinli@punxes.es                                   libreria@example.org                              ENVIO 08        
CLES PUNXES DISTRIBUIDORA S.L.           LIBRERIA DE EJEMPLO                     477423    20240501AFS0000000000E                       
D978-84-9716-453-59788497164535     006000444      HENRY DAVID THOREAU                                000010000000962000000100000350000400NF        SANT JORDISTEVENSON, ROBERT LOUIS                                                                                                                                
D978-84-18998-38-69788418998386     151000336      ABAJO LOS JEFES!                                   000040000001817000000189000350000400NF        SANT JORDIDÉJACQUE, JOSEPH                                                                                                                                       
D978-84-128032-1-19788412803211     451000038      ENERGY FAKES                                       000020000001913000000199000350000400NF        SANT JORDIFRESCO, PEDRO                                                                                                                                          
D978-84-18972-34-89788418972348     184000149      BERBENA I COLIBRÍ                                  000010000001442000000150000350000400NF        SANT JORDIPINTADERA, FRAN                                                                                                                                        
D978-84-126673-6-39788412667363     021000132      MALALTIA COM A METÀFORA, LA / SIDA I LES SEVES MET 000010000002115000000220000350000400NF        SANT JORDISONTAG, SUSAN                                                                                                                                          
D978-84-124261-9-99788412426199     442000010      JOSÉPHINE BAKER                                    000010000003077000000320000350000400NF        SANT JORDIMULLER, CATEL                                                                                                                                          
D978-84-10107-33-59788410107335     036001229      SOCIEDAD DEL DESCONOCIMIENTO, LA - RÚSTICA         000010000001971000000205000350000400NF        SANT JORDIINNERARITY, DANIEL                                                                                                                                     
D978-84-339-9954-29788433999542     140004877      FAMILIA, LA                                        000010000001817000000189000350000400NF        SANT JORDIMESA, SARA                                                                                                                                             
D978-84-96834-83-59788496834835     150000177      DE LAS CHECAS DE BARCELONA A LA ALEMANIA NAZI AC-1 000010000001923000000200000350000400NF        SANT JORDICASTELLVI, OTILIA                                                                                                                                      
D978-84-7727-537-49788477275374     050007037      CONTRA TOTA ESPERANÇA                              000010000002885000000300000350000400NF        SANT JORDIMANDELSTAM, NADEJDA                                                                                                                                    
D978-84-17088-34-79788417088347     036000425      QUIERO DEJAR DE SER UN DENTRODEMI                  000010000001529000000159000350000400NF        SANT JORDISELLIN, BIRGER                                                                                                                                         
D978-84-17386-30-69788417386306     151000294      PLAGIO, EL                                         000010000001625000000169000350000400NF        SANT JORDIJIMÉNEZ, DANIEL                                                                                                                                        
D978-84-17374-37-29788417374372     153000072      LIBRES AL FIN !                                    000010000001918000000199500350000400NF        SANT JORDILOULENDO, SARAH/ROI, ARNAUD                                                                                                                            
D978-84-9065-138-49788490651384     142000816      ALGORITMO DE ADA, EL                               000010000001875000000195000350000400NF        SANT JORDIESSINGER, JAMES                                                                                                                                        
D978-84-17374-36-59788417374365     153000071      PER FI, LLIURES !                                  000010000001918000000199500350000400NF        SANT JORDILOULENDO, SARAH/ROI, ARNAUD                                                                                                                            
D978-84-127631-8-89788412763188     139000121      HEROÍNAS DE LA HISTORIA                            000010000001913000000199000350000400NF        SANT JORDICINGOLI, LORENZA                                                                                                                                       
D978-84-123319-3-69788412331936     451000013      SEÑORES NOS MANDARON AQUÍ, LOS                     000020000001913000000199000350000400NF        SANT JORDILABBA, ELIN ANNA                                                                                                                                       
D978-84-17624-34-79788417624347     004001832      SOBRE MARÍA ZAMBRANO                               000010000002399000000249500350000400NF        SANT JORDICOLINAS, ANTONIO                                                                                                                                       
D978-84-10025-05-99788410025059     072000707      CAN DESASTRE                                       000010000001817000000189000350000400NF        SANT JORDIVÁZQUEZ, ROBERTA                                                                                                                                       
D978-84-19558-31-29788419558312     172000207      MI PARTO ROBADO                                    000010000001721000000179000350000400NF        SANT JORDIALKORTA, NAHIA                                                                                                                                         
D978-84-120685-2-89788412068528     431000012      SOY NICOLE                                         000010000002692000000280000350000400NF        SANT JORDIELLIS NUTT, AMY                                                                                                                                        
D978-84-9841-428-89788498414288     004008755      REY SE INCLINA Y MATA OT-55  *                     000010000001726000000179500350000400NF        SANT JORDIMÜLLER, HERTA                                                                                                                                          
D978-84-8470-669-49788484706694     161000732      DIPELODOCUS - VOL. 1                               000010000001587000000165000350000400NF        SANT JORDIBENICÀ, LISE                                                                                                                                           
D978-84-339-6706-09788433967060     140003065      CORTO VERANO DE LA ANARQUIA, EL - CM               000020000001240000000129000350000400NF        SANT JORDIENZENSBERGER, HANS MAGNUS                                                                                                                              
D978-84-124527-2-39788412452723     120000066      MORT ACCIDENTAL D'UN ANARQUISTA                    000020000001635000000170000350000400NF        SANT JORDIFO, DARIO                                                                                                                                              
D978-84-339-6137-29788433961372     140004854      CARA DE PAN - CM                                   000010000000952000000099000350000400NF        SANT JORDIMESA, SARA                                                                                                                                             
D978-84-16529-65-09788416529650     091000069      CARTAS PÓSTUMAS DESDE MONTMARTRE                   000010000001731000000180000350000400NF        SANT JORDIMIAOJIN, QIU                                                                                                                                           
D978-84-125763-3-79788412576337     451000035      MENTIRAS MONUMENTALES                              000010000002106000000219000350000400NF        SANT JORDIBEVAN, ROBERT                                                                                                                                          
D978-84-339-2285-49788433922854     140005254      OBEDECEDARIO PATRIARCAL                            000040000001144000000119000350000400NF        SANT JORDIBERBEL SÁNCHEZ, SARA/CASTANY PRADO, BERNAT                                                                                                             
D978-84-17386-24-59788417386245     151000220      LAGUNAS                                            000010000002192000000228000350000400NF        SANT JORDIHEPOLA, SARAH                                                                                                                                          
D978-84-18972-50-89788418972508     184000162      OBLIGADOS A PARTIR                                 000040000001779000000185000350000400NF        SANT JORDIDE AHUMADA, LAIA                                                                                                                                       
D978-84-7329-429-49788473294294     060000184      OCÀS I FASCINACIÓ                                  000010000001779000000185000350000400NF        SANT JORDIBALTASAR, EVA                                                                                                                                          
D978-84-86540-86-99788486540869     043000014      VIDA NUA, LA  TM-14                                000010000001202000000125000350000400NF        SANT JORDIHATZFELD, JEAN                                                                                                                                         
D978-84-936367-5-39788493636753     151000052      LAUREANO CERRADA, EL EMPRESARIO ANARQUISTA         000010000001058000000110000350000400NF        SANT JORDIGALIANO, CESAR                                                                                                                                         
D978-84-18998-66-99788418998669     151000350      GEOGRAFÍAS DE LA INGRAVIDEZ                        000020000002067000000215000350000400NF        SANT JORDIBADAL PIJOAN, MARC                                                                                                                                     
D978-84-17386-98-69788417386986     151000297      DESBANDÁ, LA                                       000010000001240000000129000350000400NF        SANT JORDIBETHUNE, NORMAN                                                                                                                                        
D978-84-19783-14-19788419783141     452000014      SIN AZÚCAR                                         000010000001731000000180000350000400NF        SANT JORDIESTRADA GELABERT, MIREIA                                                                                                                               
D978-84-339-0813-19788433908131     140004613      SONTAG                                             000010000002394000000249000350000400NF        SANT JORDIMOSER, BENJAMIN                                                                                                                                        
D978-84-1121-233-59788411212335     005000408      PATRIARCADO, EL                                    000020000002115000000220000350000400NF        SANT JORDISAINI, ANGELA                                                                                                                                          
D978-84-16427-12-39788416427123     169000014      LON POPO                                           000010000001341000000139500350000400NF        SANT JORDIYOUNG, ED                                                                                                                                              
D978-607-400-211-99786074002119     105000055      CAPERUCITA ROJA, UNA                               000020000000962000000100000350000400NF        SANT JORDILERAY, MARJOLAINE                                                                                                                                      
D978-84-125763-8-29788412576382     451000033      CUATRO DÍAS                                        000020000001625000000169000350000400NF        SANT JORDISANCHIS, JOAN                                                                                                                                          
D978-84-18469-03-99788418469039     199000016      CARTAS A MUJERES                                   000010000001875000000195000350000400NF        SANT JORDIWOOLF, VIRGINIA                                                                                                                                        
D978-84-339-9877-49788433998774     140004441      CANTO YO Y LA MONTAÑA BAILA                        000020000001721000000179000350000400NF        SANT JORDISOLÀ, IRENE                                                                                                                                            
D978-84-126766-9-39788412676693     120000083      ESCRITS REVOLUCIONARIS                             000030000002212000000230000350000400NF        SANT JORDIGOLDMAN, EMMA                                                                                                                                          
D978-84-19590-15-29788419590152     130000486      TORTURADES                                         000020000002115000000220000350000400NF        SANT JORDIPASQUAL, GEMMA                                                                                                                                         
D978-84-16734-20-79788416734207     036000381      MARIA MERCÈ MARÇAL. UNA VIDA                       000010000002298000000239000350000400NF        SANT JORDIJULIÀ, LLUÏSA                                                                                                                                          
D978-84-19744-53-19788419744531     004002295      SOMOS UN CUERPO HERIDO                             000010000001341000000139500350000400NF        SANT JORDIROSSETTI, ANA                                                                                                                                          
D978-84-16372-40-99788416372409     027000044      MARÍA LUZ MORALES PIONERA DEL PERIODISMO *         000010000000962000000100000350000400NF        SANT JORDICABRÉ, MARIA ANGELES                                                                                                                                   
D978-84-19654-83-09788419654830     072000699      MARAVILLOSA VIDA DE LOS ELEMENTOS, LA              000010000002212000000230000350000400NF        SANT JORDIYORIFUJI, BUNPEI                                                                                                                                       
D978-84-7329-211-59788473292115     060000073      PLAÇA DEL DIAMANT, LA - CEJ                        000010000001053000000109500350000400NF        SANT JORDIRODOREDA, MERCÈ                                                                                                                                        
D978-84-125705-9-59788412570595     144000629      AUCA DEL NOI CATALÀ, ANTIFEIXISTA I HUMÀ           000050000001433000000149000350000400NF        SANT JORDICATALÀ I PIC, PERE                                                                                                                                     
D978-84-126126-3-99788412612639     431000071      DROGA MARAVILLOSA, UNA                             000010000001635000000170000350000400NF        SANT JORDIGOLDRING, HUGH D. A.                                                                                                                                   
D978-84-18741-90-69788418741906     172000183      NO LO HARÉ BIEN                                    000010000001913000000199000350000400NF        SANT JORDIVALLESPINÓS, EMMA                                                                                                                                      
D978-84-339-0628-19788433906281     140005008      TE DI OJOS Y MIRASTE LAS TINIEBLAS                 000010000001721000000179000350000400NF        SANT JORDISOLÀ, IRENE                                                                                                                                            
D978-84-18859-84-79788418859847     004002129      HISTORIA DE KATHE                                  000010000002111000000219500350000400NF        SANT JORDISOBYE, ESPEN                                                                                                                                           
D978-84-15862-12-39788415862123     151000100      PARTIR PARA CONTAR                                 000010000002115000000220000350000400NF        SANT JORDITRAORE, MAHUD                                                                                                                                          
D978-84-339-2318-99788433923189     140005268      IMATGE INCESSANT, LA                               000030000002106000000219000350000400NF        SANT JORDIOLIVA, MERCÈ/BALLÓ, JORDI                                                                                                                              
D978-84-16987-82-59788416987825     043000217      PROHIBIT NÉIXER    *                               000010000001731000000180000350000400NF        SANT JORDINOAH, TREVOR                                                                                                                                           
D978-84-7651-182-49788476511824     006000479      REFLEXIONES SOBRE EL PROBLEMA DEL AMOR             000010000000962000000100000350000400NF        SANT JORDIANDREAS-SALOMÉ, LOU                                                                                                                                    
D978-84-17059-04-09788417059040     072000184      CARMEN DE MAIRENA UNA BIOGRAFÍA                    000010000001913000000199000350000400NF        SANT JORDIJUNCOSA, CARLOTA                                                                                                                                       
D978-84-7651-784-09788476517840     008000031      SEXTA INVASIÓN, LA                                 000020000001538000000160000350000400NF        SANT JORDILLANO, RAFAEL                                                                                                                                          
D978-84-10025-19-69788410025196     072000698      AMOR DE MONSTRUO - BOLSILLO                        000010000001337000000139000350000400NF        SANT JORDIDUNN, KATHERINE                                                                                                                                        
D978-84-7727-551-09788477275510     050000204      BANQUER ANARQUISTA, EL                             000010000000865000000090000350000400NF        SANT JORDIPESSOA, FERNANDO                                                                                                                                       
D978-84-10025-14-19788410025141     072000730      ESTOY BIEN                                         000010000002115000000220000350000400NF        SANT JORDISEDARIS, DAVID                                                                                                                                         
D978-84-339-1568-99788433915689     140004427      CANTO JO I LA MUNTANYA BALLA                       000020000001721000000179000350000400NF        SANT JORDISOLÀ, IRENE                                                                                                                                            
D978-84-19392-95-49788419392954     036001145      ECO DE LOS DISPAROS, EL - 2023    *                000020000001779000000185000350000400NF        SANT JORDIPORTELA, EDURNE                                                                                                                                        
D978-84-9716-457-39788497164573     006000455      ESCRITORAS                                         000010000001058000000110000350000400NF        SANT JORDIWOOLF, VIRGINIA                                                                                                                                        
D978-84-19942-27-29788419942272     004002325      LO QUE APRENDEMOS DE LOS ANIMALES                  000010000001918000000199500350000400NF        SANT JORDIACCINELLI, GIANUMBERTO                                                                                                                                 
D978-84-120346-3-99788412034639     182000024      MISS DAVIS                                         000010000002399000000249500350000400NF        SANT JORDITITEUX, SYBILLE                                                                                                                                        
D978-84-15862-31-49788415862314     151000123      EN POS DEL MILENIO                                 000010000002692000000280000350000400NF        SANT JORDICOHN, NORMAN                                                                                                                                           
MENTREGA NÚMERO:477423 DE FECHA 10/04/2024                                       
T 0000138 000253665 000164888
V00400 000164888 00000659600000 000000000
