INLIQVE202L0009999L0001234                                                 FANDE
Isinli.exe@zonalibros.com                          ejemploejemplo@example.org                        LIQVE202        
DV978-84-88455-81-99788488455819     VIR88455802    Homenaje a Cataluña                                0000010000001442000000150000500000400
DV978-84-88455-81-99788488455819     VIR88455802    Homenaje a Cataluña                                0000010000001442000000150000550000400
DV978-84-88455-84-09788488455840     VIR88455840    Manual de guerrilla de la comunicación             0000010000001538000000160000550000400
DV978-84-92559-17-69788492559176     VIR92559176    La sociedad contra el Estado                       0000020000001683000000175000550000400
DV978-84-92559-19-09788492559190     VIR92559190    TERCERA PIEL                                       0000010000000481000000050000500000400
DV978-84-92559-45-99788492559459     VIR00000209    RASTROS DE ROSTROS EN PRADO ROJO (Y NEGRO)         0000010000001442000000150000550000400
DV978-84-92559-53-49788492559534     VIR00000220    ANARQUISMO ES MOVIMIENTO                           0000010000001154000000120000500000400
DV978-84-92559-64-09788492559640     VIR61662306    PARTISANAS                                         0000010000002163000000225000550000400
DV978-84-92559-67-19788492559671     VIR61662310    GRAN TRANSFORMACIóN                                0000010000002163000000225000550000400
DA978-84-92559-70-19788492559701     VIR61662316    NEGOCIOS DEL CAMBIO CLIMÁTICO                     -0000010000000962000000100000500000400
DV978-84-92559-78-79788492559787     VIR61662322    MASCULINIDADES Y FEMINISMO                         0000020000001346000000140000500000400
DV978-84-92559-78-79788492559787     VIR61662322    MASCULINIDADES Y FEMINISMO                         0000010000001346000000140000550000400
DV978-84-92559-81-79788492559817     VIR61662340    DESIERTO QUE VIENE                                 0000010000000769000000080000550000400
DV978-84-92559-89-39788492559893     VIR61662352    NUESTRA OBSOLETA MENTALIDAD DE MERCADO             0000010000000962000000100000500000400
DV978-84-92559-90-99788492559909     VIR61662353    MÁQUINA ES TU AMO Y SEÑOR                          0000010000000962000000100000500000400
DV978-84-92559-92-39788492559923     VIR61662354    FRAGMENTOS DE ANTROPOLOGÍA ANARQUISTA              0000030000000962000000100000550000400
DV978-84-92559-94-79788492559947     VIR61662357    ANARQUISMO SOCIAL O ANARQUISMO PERSONAL            0000030000000962000000100000500000400
DV978-84-92559-97-89788492559978     VIR61662359    DINÁMICA DE LA REVUELTA                            0000010000000962000000100000550000400
DV978-84-17870-00-39788417870003     VIR61662377    NIÑAS SALVAJES                                     0000070000001154000000120000500000400
DV978-84-17870-00-39788417870003     VIR61662377    NIÑAS SALVAJES                                     0000020000001154000000120000550000400
DV978-84-17870-04-19788417870041     VIR61662381    CONTROL URBANO                                     0000010000000962000000100000550000400
DV978-84-17870-09-69788417870096     VIR61662386    EUROPA EN DESCOMPOSICION                           0000010000001538000000160000550000400
DV978-84-17870-15-79788417870157     VIR61662391    ANTROPOCENO                                        0000020000001538000000160000500000400
DV978-84-17870-19-59788417870195     VIR61662395    REALISME CAPITALISTA                               0000010000001154000000120000500000400
DV978-84-17870-21-89788417870218     VIR61662399    NEGACION DE LA VIRTUD, LA                          0000090000001538000000160000500000400
DV978-84-17870-22-59788417870225     VIR61662400    INVENCION DE LAS MUJERES, LA                       0000020000002308000000240000500000400
DV978-84-17870-22-59788417870225     VIR61662400    INVENCION DE LAS MUJERES, LA                       0000010000002308000000240000550000400
DV978-84-17870-24-99788417870249     VIR61662402    MORT I VIDA DE LES GRANS CIUTATS                   0000010000002596000000270000550000400
DV978-84-17870-25-69788417870256     VIR61662403    MICROFÍSICA SEXISTA DEL PODER (3ed)                0000050000001923000000200000500000400
DV978-84-17870-26-39788417870263     VIR61662404    URBANISMO FEMINISTA (2º EDICION)                   0000030000001538000000160000550000400
DV978-84-17870-27-09788417870270     VIR61662405    PUTA FEMINISTA (2º EDICION)                        0000020000001635000000170000500000400
DV978-84-17870-29-49788417870294     VIR61662406    FALSAS ALTERNATIVAS (2ED)                          0000020000001731000000180000500000400
DV978-84-125901-1-19788412590111     VIR61662407    MURO ENERGÉTICO DEL CAPITAL, EL                    0000010000001731000000180000550000400
DV978-84-17870-31-79788417870317     VIR61662409    MACHISMO Y CULTURA JURÍDICA                        0000060000002404000000250000500000400
DV978-84-17870-34-89788417870348     VIR61662411    CONVIVENCIALIDAD, LA                               0000010000001731000000180000500000400
DV978-84-17870-36-29788417870362     VIR61662413    40 VOCES POR SUBLEVACIONES DE LA TIERRA            0000130000001731000000180000500000400
DV978-84-17870-36-29788417870362     VIR61662413    40 VOCES POR SUBLEVACIONES DE LA TIERRA            0000010000001731000000180000550000400
T 0000126 000192457 000093539
