INENVIO 08L0000999L000123401160                                            FANDE
Isinli@exemple.org                                 ejemploejemplo@example.org                        ENVIO 08        
CEXEMPLE EDICIONS                              DISTRIBUIDORA EXEMPLE             248595    20240514ADN0000000000E        
D978-84-460-5156-59788446051565     0011140025     LIBRO DE LA BIOLOGIA                              0000010000003029000000315000500000400NF                  AA.VV.                                                                                                                                                 
D978-84-460-5193-09788446051930     0011040039     MANUAL DEL ARTISTA                                0000020000002404000000250000500000400NF                  PEPPER, ROB                                                                                                                                            
D978-84-460-5222-79788446052227     0011140028     LIBRO DEL CINE (3\AA EDICION ACTUALIZADA)           0000030000003029000000315000500000400NF                  AA.VV.                                                                                                                                                 
D978-84-460-5241-89788446052418     0011140026     LIBRO DE LA SEGUNDA GUERRA MUNDIAL                0000020000003029000000315000500000400NF                  AA.VV.                                                                                                                                                 
D978-84-460-5289-09788446052890     0020080003     DIBUJAMOS?                                        0000010000001154000000120000500000400NF                  FRIESE, JULIA                                                                                                                                          
D978-84-460-5429-09788446054290     0011000025     EXTRA\D1O CASO DEL DR. JEKYLL Y MR. HYDE. EDICION AN0000020000003462000000360000500000400NF                  STEVENSON, ROBERT LOUIS                                                                                                                                
D978-84-460-5432-09788446054320     0010120016     PASADOS DE LA REVOLUCION                          0000030000002500000000260000500000400NF                  STRAEHLE, EDGAR                                                                                                                                        
D978-84-460-5448-19788446054481     0010070042     INVENCION DE JESUS DE NAZARET                     0000020000003462000000360000500000400NF                  BERMEJO RUBIO, FERNANDO                                                                                                                                
D978-84-460-5453-59788446054535     0010080044     APUNTES DEL SUBSUELO                              0000020000001337000000139000500000400NF                  DOSTOIEVSKI, FIODOR M.                                                                                                                                 
D978-84-460-5467-29788446054672     0010120017     BAJO TRES BANDERAS                                0000020000002308000000240000500000400NF                  ANDERSON, BENEDICT                                                                                                                                     
D978-84-460-5497-99788446054979     0010390034     H\AA DEL ARTE EN LA ANTIGUEDAD (RUSTICA)            0000020000001538000000160000500000400NF                  WINCKELMAN, JOHANN JOACHIM                                                                                                                             
D978-84-460-5500-69788446055006     0011460112     CAPITAL AMOROSO                                   0000050000001245000000129500500000400NF                  GUERRA, JENNIFER                                                                                                                                       
D978-84-460-5502-09788446055020     0010060046     PODER SECRETO                                     0000020000001875000000195000500000400NF                  MAURIZI, STEFANIA                                                                                                                                      
T 0000072 000177148 000090648
V0040000000906480000003626000000000000000
